10.1007/s11538-010-9501-z
10.1016/S0955-0674(03)00017-6
10.1073/pnas.122653799
10.1371/journal.pcbi.1012864
10.1016/j.cels.2021.05.012
10.1007/978-1-4899-0718-9_31
10.1038/s41540-024-00398-6
10.1038/srep21957
10.1038/s41598-019-52725-1
